year,phase,group,group_rank,team,played,won,drawn,lost,goals_for,goals_against,goal_diff,points,advanced
2010,Group stage,H,1,Spain,3,2,0,1,4,2,2,6,1
2010,Group stage,H,2,Chile,3,2,0,1,3,2,1,6,1
2010,Group stage,H,3,Switzerland,3,1,1,1,1,1,0,4,0
2010,Group stage,H,4,Honduras,3,0,1,2,0,3,-3,1,0
2014,Group stage,A,1,Brazil,3,2,1,0,7,2,5,7,1
2014,Group stage,A,2,Mexico,3,2,1,0,4,1,3,7,1
2014,Group stage,A,3,Croatia,3,1,0,2,6,6,0,3,0
2014,Group stage,A,4,Cameroon,3,0,0,3,1,9,-8,0,0
2014,Group stage,B,1,Netherlands,3,3,0,0,10,3,7,9,1
2014,Group stage,B,2,Chile,3,2,0,1,5,3,2,6,1
2014,Group stage,B,3,Spain,3,1,0,2,4,7,-3,3,0
2014,Group stage,B,4,Australia,3,0,0,3,3,9,-6,0,0
2014,Group stage,C,1,Colombia,3,3,0,0,9,2,7,9,1
2014,Group stage,C,2,Greece,3,1,1,1,2,4,-2,4,1
2014,Group stage,C,3,Côte d'Ivoire,3,1,0,2,4,5,-1,3,0
2014,Group stage,C,4,Japan,3,0,1,2,2,6,-4,1,0
2014,Group stage,D,1,Costa Rica,3,2,1,0,4,1,3,7,1
2014,Group stage,D,2,Uruguay,3,2,0,1,4,4,0,6,1
2014,Group stage,D,3,Italy,3,1,0,2,2,3,-1,3,0
2014,Group stage,D,4,England,3,0,1,2,2,4,-2,1,0
2014,Group stage,E,1,France,3,2,1,0,8,2,6,7,1
2014,Group stage,E,2,Switzerland,3,2,0,1,7,6,1,6,1
2014,Group stage,E,3,Ecuador,3,1,1,1,3,3,0,4,0
2014,Group stage,E,4,Honduras,3,0,0,3,1,8,-7,0,0
2014,Group stage,F,1,Argentina,3,3,0,0,6,3,3,9,1
2014,Group stage,F,2,Nigeria,3,1,1,1,3,3,0,4,1
2014,Group stage,F,3,Bosnia and Herzegovina,3,1,0,2,4,4,0,3,0
2014,Group stage,F,4,IR Iran,3,0,1,2,1,4,-3,1,0
2014,Group stage,G,1,Germany,3,2,1,0,7,2,5,7,1
2014,Group stage,G,2,United States,3,1,1,1,4,4,0,4,1
2014,Group stage,G,3,Portugal,3,1,1,1,4,7,-3,4,0
2014,Group stage,G,4,Ghana,3,0,1,2,4,6,-2,1,0
2014,Group stage,H,1,Belgium,3,3,0,0,4,1,3,9,1
2014,Group stage,H,2,Algeria,3,1,1,1,6,5,1,4,1
2014,Group stage,H,3,Russia,3,0,2,1,2,3,-1,2,0
2014,Group stage,H,4,Korea Republic,3,0,1,2,3,6,-3,1,0
2018,Group stage,A,1,Uruguay,3,3,0,0,5,0,5,9,1
2018,Group stage,A,2,Russia,3,2,0,1,8,4,4,6,1
2018,Group stage,A,3,Saudi Arabia,3,1,0,2,2,7,-5,3,0
2018,Group stage,A,4,Egypt,3,0,0,3,2,6,-4,0,0
2018,Group stage,B,1,Spain,3,1,2,0,6,5,1,5,1
2018,Group stage,B,2,Portugal,3,1,2,0,5,4,1,5,1
2018,Group stage,B,3,IR Iran,3,1,1,1,2,2,0,4,0
2018,Group stage,B,4,Morocco,3,0,1,2,2,4,-2,1,0
2018,Group stage,C,1,France,3,2,1,0,3,1,2,7,1
2018,Group stage,C,2,Denmark,3,1,2,0,2,1,1,5,1
2018,Group stage,C,3,Peru,3,1,0,2,2,2,0,3,0
2018,Group stage,C,4,Australia,3,0,1,2,2,5,-3,1,0
2018,Group stage,D,1,Croatia,3,3,0,0,7,1,6,9,1
2018,Group stage,D,2,Argentina,3,1,1,1,3,5,-2,4,1
2018,Group stage,D,3,Nigeria,3,1,0,2,3,4,-1,3,0
2018,Group stage,D,4,Iceland,3,0,1,2,2,5,-3,1,0
2018,Group stage,E,1,Brazil,3,2,1,0,5,1,4,7,1
2018,Group stage,E,2,Switzerland,3,1,2,0,5,4,1,5,1
2018,Group stage,E,3,Serbia,3,1,0,2,2,4,-2,3,0
2018,Group stage,E,4,Costa Rica,3,0,1,2,2,5,-3,1,0
2018,Group stage,F,1,Sweden,3,2,0,1,5,2,3,6,1
2018,Group stage,F,2,Mexico,3,2,0,1,3,4,-1,6,1
2018,Group stage,F,3,Korea Republic,3,1,0,2,3,3,0,3,0
2018,Group stage,F,4,Germany,3,1,0,2,2,4,-2,3,0
2018,Group stage,G,1,Belgium,3,3,0,0,9,2,7,9,1
2018,Group stage,G,2,England,3,2,0,1,8,3,5,6,1
2018,Group stage,G,3,Tunisia,3,1,0,2,5,8,-3,3,0
2018,Group stage,G,4,Panama,3,0,0,3,2,11,-9,0,0
2018,Group stage,H,1,Colombia,3,2,0,1,5,2,3,6,1
2018,Group stage,H,2,Japan,3,1,1,1,4,4,0,4,1
2018,Group stage,H,3,Senegal,3,1,1,1,4,4,0,4,0
2018,Group stage,H,4,Poland,3,1,0,2,2,5,-3,3,0
2022,Group stage,A,1,Netherlands,3,2,1,0,5,1,4,7,1
2022,Group stage,A,2,Senegal,3,2,0,1,5,4,1,6,1
2022,Group stage,A,3,Ecuador,3,1,1,1,4,3,1,4,0
2022,Group stage,A,4,Qatar,3,0,0,3,1,7,-6,0,0
2022,Group stage,B,1,England,3,2,1,0,9,2,7,7,1
2022,Group stage,B,2,United States,3,1,2,0,2,1,1,5,1
2022,Group stage,B,3,IR Iran,3,1,0,2,4,7,-3,3,0
2022,Group stage,B,4,Wales,3,0,1,2,1,6,-5,1,0
2022,Group stage,C,1,Argentina,3,2,0,1,5,2,3,6,1
2022,Group stage,C,2,Poland,3,1,1,1,2,2,0,4,1
2022,Group stage,C,3,Mexico,3,1,1,1,2,3,-1,4,0
2022,Group stage,C,4,Saudi Arabia,3,1,0,2,3,5,-2,3,0
2022,Group stage,D,1,France,3,2,0,1,6,3,3,6,1
2022,Group stage,D,2,Australia,3,2,0,1,3,4,-1,6,1
2022,Group stage,D,3,Tunisia,3,1,1,1,1,1,0,4,0
2022,Group stage,D,4,Denmark,3,0,1,2,1,3,-2,1,0
2022,Group stage,E,1,Japan,3,2,0,1,4,3,1,6,1
2022,Group stage,E,2,Spain,3,1,1,1,9,3,6,4,1
2022,Group stage,E,3,Germany,3,1,1,1,6,5,1,4,0
2022,Group stage,E,4,Costa Rica,3,1,0,2,3,11,-8,3,0
2022,Group stage,F,1,Morocco,3,2,1,0,4,1,3,7,1
2022,Group stage,F,2,Croatia,3,1,2,0,4,1,3,5,1
2022,Group stage,F,3,Belgium,3,1,1,1,1,2,-1,4,0
2022,Group stage,F,4,Canada,3,0,0,3,2,7,-5,0,0
2022,Group stage,G,1,Brazil,3,2,0,1,3,1,2,6,1
2022,Group stage,G,2,Switzerland,3,2,0,1,4,3,1,6,1
2022,Group stage,G,3,Cameroon,3,1,1,1,4,4,0,4,0
2022,Group stage,G,4,Serbia,3,0,1,2,5,8,-3,1,0
2022,Group stage,H,1,Portugal,3,2,0,1,6,4,2,6,1
2022,Group stage,H,2,Korea Republic,3,1,1,1,4,4,0,4,1
2022,Group stage,H,3,Uruguay,3,1,1,1,2,2,0,4,0
2022,Group stage,H,4,Ghana,3,1,0,2,5,7,-2,3,0
2026,Group stage,A,1,Mexico,3,3,0,0,6,0,6,9,1
2026,Group stage,A,2,South Africa,3,1,1,1,2,3,-1,4,1
2026,Group stage,A,3,Korea Republic,3,1,0,2,2,3,-1,3,0
2026,Group stage,A,4,Czechia,3,0,1,2,2,6,-4,1,0
2026,Group stage,B,1,Switzerland,3,2,1,0,7,3,4,7,1
2026,Group stage,B,2,Canada,3,1,1,1,8,3,5,4,1
2026,Group stage,B,3,Bosnia–Herz,3,1,1,1,5,6,-1,4,1
2026,Group stage,B,4,Qatar,3,0,1,2,2,10,-8,1,0
2026,Group stage,C,1,Brazil,3,2,1,0,7,1,6,7,1
2026,Group stage,C,2,Morocco,3,2,1,0,6,3,3,7,1
2026,Group stage,C,3,Scotland,3,1,0,2,1,4,-3,3,0
2026,Group stage,C,4,Haiti,3,0,0,3,2,8,-6,0,0
2026,Group stage,D,1,United States,3,2,0,1,8,4,4,6,1
2026,Group stage,D,2,Australia,3,1,1,1,2,2,0,4,1
2026,Group stage,D,3,Paraguay,3,1,1,1,2,4,-2,4,1
2026,Group stage,D,4,Türkiye,3,1,0,2,3,5,-2,3,0
2026,Group stage,E,1,Germany,3,2,0,1,10,4,6,6,1
2026,Group stage,E,2,Côte d'Ivoire,3,2,0,1,4,2,2,6,1
2026,Group stage,E,3,Ecuador,3,1,1,1,2,2,0,4,1
2026,Group stage,E,4,Curaçao,3,0,1,2,1,9,-8,1,0
2026,Group stage,F,1,Netherlands,3,2,1,0,10,4,6,7,1
2026,Group stage,F,2,Japan,3,1,2,0,7,3,4,5,1
2026,Group stage,F,3,Sweden,3,1,1,1,7,7,0,4,1
2026,Group stage,F,4,Tunisia,3,0,0,3,2,12,-10,0,0
2026,Group stage,G,1,Belgium,3,1,2,0,6,2,4,5,1
2026,Group stage,G,2,Egypt,3,1,2,0,5,3,2,5,1
2026,Group stage,G,3,IR Iran,3,0,3,0,3,3,0,3,0
2026,Group stage,G,4,New Zealand,3,0,1,2,4,10,-6,1,0
2026,Group stage,H,1,Spain,3,2,1,0,5,0,5,7,1
2026,Group stage,H,2,Cabo Verde,3,0,3,0,2,2,0,3,1
2026,Group stage,H,3,Uruguay,3,0,2,1,3,4,-1,2,0
2026,Group stage,H,4,Saudi Arabia,3,0,2,1,1,5,-4,2,0
2026,Group stage,I,1,France,3,3,0,0,10,2,8,9,1
2026,Group stage,I,2,Norway,3,2,0,1,8,7,1,6,1
2026,Group stage,I,3,Senegal,3,1,0,2,8,6,2,3,1
2026,Group stage,I,4,Iraq,3,0,0,3,1,12,-11,0,0
2026,Group stage,J,1,Argentina,3,3,0,0,8,1,7,9,1
2026,Group stage,J,2,Austria,3,1,1,1,6,6,0,4,1
2026,Group stage,J,3,Algeria,3,1,1,1,5,7,-2,4,1
2026,Group stage,J,4,Jordan,3,0,0,3,3,8,-5,0,0
2026,Group stage,K,1,Colombia,3,2,1,0,4,1,3,7,1
2026,Group stage,K,2,Portugal,3,1,2,0,6,1,5,5,1
2026,Group stage,K,3,Congo DR,3,1,1,1,4,3,1,4,1
2026,Group stage,K,4,Uzbekistan,3,0,0,3,2,11,-9,0,0
2026,Group stage,L,1,England,3,2,1,0,6,2,4,7,1
2026,Group stage,L,2,Croatia,3,2,0,1,5,5,0,6,1
2026,Group stage,L,3,Ghana,3,1,1,1,2,2,0,4,1
2026,Group stage,L,4,Panama,3,0,0,3,0,4,-4,0,0
