year,host_country,round,stage_type,date,home_team,away_team,home_score,away_score,total_goals,goal_diff,result,winner,home_xg,away_xg,home_penalty_shootout,away_penalty_shootout,venue,attendance,referee,home_manager,away_manager,home_captain,away_captain,notes
1978,Argentina,First round,Knockout,1978-06-11,Spain,Sweden,1.0,0.0,1.0,1.0,Home Win,Spain,,,,,"Jose Amalfitani, Buenos Aires",42132,Ferdinand Biwersi,Ladislao Kubala,Georg Ericson,Juan Manuel Asensi,Björn Nordqvist,
1978,Argentina,First round,Knockout,1978-06-11,Peru,IR Iran,4.0,1.0,5.0,3.0,Home Win,Peru,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",21262,Alojzy Jarguz,Marcos Calderon,Heshmat Mohadjerani,Héctor Chumpitaz,Ali Parvin,
1978,Argentina,First round,Knockout,1978-06-11,Scotland,Netherlands,3.0,2.0,5.0,1.0,Home Win,Scotland,,,,,"San Martin, Mendoza",35130,Erich Linemayr,Alistair Macleod,Ernst Happel,Bruce Rioch,Ruud Krol,
1978,Argentina,First round,Knockout,1978-06-10,France,Hungary,3.0,1.0,4.0,2.0,Home Win,France,,,,,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",23127,Arnaldo Coelho,Michel Hidalgo,Lajos Baroti,Marius Trésor,Zoltán Kereki,
1978,Argentina,First round,Knockout,1978-06-10,Poland,Mexico,3.0,1.0,4.0,2.0,Home Win,Poland,,,,,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",22651,Jafar Namdar,Jacek Gmoch,Jose Roca,Kazimierz Deyna,Arturo Vázquez Ayala,
1978,Argentina,First round,Knockout,1978-06-10,West Germany,Tunisia,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",30667,Cesar Orozco Guerrero,Helmut Schoen,Abdelmajid Chetali,Berti Vogts,Témime Lahzami,
1978,Argentina,First round,Knockout,1978-06-10,Italy,Argentina,1.0,0.0,1.0,1.0,Home Win,Italy,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",71712,Abraham Klein,Enzo Bearzot,Cesar Luis Menotti,Dino Zoff,Daniel Passarella,
1978,Argentina,First round,Knockout,1978-06-07,Austria,Sweden,1.0,0.0,1.0,1.0,Home Win,Austria,,,,,"Jose Amalfitani, Buenos Aires",41424,Charles Corver,Helmut Senekowitsch,Georg Ericson,Robert Sara,Björn Nordqvist,
1978,Argentina,First round,Knockout,1978-06-07,Brazil,Spain,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",34771,Sergio Gonella,Claudio Coutinho,Ladislao Kubala,Émerson Leão,Juan Manuel Asensi,
1978,Argentina,First round,Knockout,1978-06-07,Netherlands,Peru,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"San Martin, Mendoza",28125,Adolf Prokop,Ernst Happel,Marcos Calderon,Ruud Krol,Héctor Chumpitaz,
1978,Argentina,First round,Knockout,1978-06-07,Scotland,IR Iran,1.0,1.0,2.0,0.0,Draw,Draw,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",7938,Youssou Ndiaye,Alistair Macleod,Heshmat Mohadjerani,Archie Gemmill,Ali Parvin,
1978,Argentina,First round,Knockout,1978-06-06,Italy,Hungary,3.0,1.0,4.0,2.0,Home Win,Italy,,,,,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",26533,Ramon Barreto Ruiz,Enzo Bearzot,Lajos Baroti,Dino Zoff,Zoltán Kereki,
1978,Argentina,First round,Knockout,1978-06-06,West Germany,Mexico,6.0,0.0,6.0,6.0,Home Win,West Germany,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",35258,Farouk Bouzo,Helmut Schoen,Jose Roca,Berti Vogts,Arturo Vázquez Ayala,
1978,Argentina,First round,Knockout,1978-06-06,Poland,Tunisia,1.0,0.0,1.0,1.0,Home Win,Poland,,,,,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",9624,Angel Martinez,Jacek Gmoch,Abdelmajid Chetali,Kazimierz Deyna,Témime Lahzami,
1978,Argentina,First round,Knockout,1978-06-06,Argentina,France,2.0,1.0,3.0,1.0,Home Win,Argentina,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",71666,Jean Dubach,Cesar Luis Menotti,Michel Hidalgo,Daniel Passarella,Marius Trésor,
1978,Argentina,First round,Knockout,1978-06-03,Sweden,Brazil,1.0,1.0,2.0,0.0,Draw,Draw,,,,,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",32569,Clive Thomas,Georg Ericson,Claudio Coutinho,Björn Nordqvist,Rivellino,
1978,Argentina,First round,Knockout,1978-06-03,Austria,Spain,2.0,1.0,3.0,1.0,Home Win,Austria,,,,,"Jose Amalfitani, Buenos Aires",40841,Karoly Palotai,Helmut Senekowitsch,Ladislao Kubala,Robert Sara,Pirri,
1978,Argentina,First round,Knockout,1978-06-03,Peru,Scotland,3.0,1.0,4.0,2.0,Home Win,Peru,,,,,"Estadio Olï¿½mpico Chateau Carreras, Cordoba",37927,Ulf Eriksson,Marcos Calderon,Alistair Macleod,Héctor Chumpitaz,Bruce Rioch,
1978,Argentina,First round,Knockout,1978-06-03,Netherlands,IR Iran,3.0,0.0,3.0,3.0,Home Win,Netherlands,,,,,"San Martin, Mendoza",33431,Alfonso Gonzalez Archundia,Ernst Happel,Heshmat Mohadjerani,Ruud Krol,Ali Parvin,
1978,Argentina,First round,Knockout,1978-06-02,Italy,France,2.0,1.0,3.0,1.0,Home Win,Italy,,,,,"Estadio Josï¿½ Marï¿½a Minella, Mar Del Plata",42373,Nicolae Rainea,Enzo Bearzot,Michel Hidalgo,Dino Zoff,Marius Trésor,
1978,Argentina,First round,Knockout,1978-06-02,Tunisia,Mexico,3.0,1.0,4.0,2.0,Home Win,Tunisia,,,,,"Arroyito - Estadio Dr. Lisandro de la Torre, Rosario",17396,John Gordon,Abdelmajid Chetali,Jose Roca,Témime Lahzami,Arturo Vázquez Ayala,
1978,Argentina,First round,Knockout,1978-06-02,Argentina,Hungary,2.0,1.0,3.0,1.0,Home Win,Argentina,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",71615,Antonio Garrido,Cesar Luis Menotti,Lajos Baroti,Daniel Passarella,Zoltán Kereki,
1978,Argentina,First round,Knockout,1978-06-01,West Germany,Poland,0.0,0.0,0.0,0.0,Draw,Draw,,,,,"El Monumental - Estadio Monumental Antonio Vespuci, Buenos Aires",67579,Norberto Angel Coerezza,Helmut Schoen,Jacek Gmoch,Berti Vogts,Kazimierz Deyna,
1974,Germany,Final,Knockout,1974-07-07,Netherlands,West Germany,1.0,2.0,3.0,-1.0,Away Win,West Germany,,,,,"Olympiastadion, Munich",78200,John Taylor,Rinus Michels,Helmut Schoen,Johan Cruyff,Franz Beckenbauer,
1974,Germany,Third-place match,Knockout,1974-07-06,Brazil,Poland,0.0,1.0,1.0,-1.0,Away Win,Poland,,,,,"Olympiastadion, Munich",77100,Aurelio Angonese,Mario Zagallo,Kazimierz Gorski,Marinho Peres,Kazimierz Deyna,
1974,Germany,Second round,Knockout,1974-07-03,Poland,West Germany,0.0,1.0,1.0,-1.0,Away Win,West Germany,,,,,"Waldstadion, Frankfurt/Main",62000,Erich Linemayr,Kazimierz Gorski,Helmut Schoen,Kazimierz Deyna,Franz Beckenbauer,
1974,Germany,Second round,Knockout,1974-07-03,Netherlands,Brazil,2.0,0.0,2.0,2.0,Home Win,Netherlands,,,,,"Westfalenstadion, Dortmund",53700,Kurt Tschenscher,Rinus Michels,Mario Zagallo,Johan Cruyff,Marinho Peres,
1974,Germany,Second round,Knockout,1974-07-03,Argentina,Germany DR,1.0,1.0,2.0,0.0,Draw,Draw,,,,,"Parkstadion, Gelsenkirchen",54254,John Taylor,Vladislao Cap,Georg Buschner,Enrique Wolff,Bernd Bransch,
1974,Germany,Second round,Knockout,1974-07-03,Sweden,Yugoslavia,2.0,1.0,3.0,1.0,Home Win,Sweden,,,,,"Rheinstadion, Dï¿½Sseldorf",41300,Luis Pestarino,Georg Ericson,Miljan Miljanic,Björn Nordqvist,Dragan Džajić,
1974,Germany,Second round,Knockout,1974-06-30,Poland,Yugoslavia,2.0,1.0,3.0,1.0,Home Win,Poland,,,,,"Waldstadion, Frankfurt/Main",58000,Rudolf Gloeckner,Kazimierz Gorski,Miljan Miljanic,Kazimierz Deyna,Jovan Aćimović,
1974,Germany,Second round,Knockout,1974-06-30,Argentina,Brazil,1.0,2.0,3.0,-1.0,Away Win,Brazil,,,,,"Niedersachsenstadion, Hanover",39400,Vital Loraux,Vladislao Cap,Mario Zagallo,Miguel Ángel Brindisi,Marinho Peres,
1974,Germany,Second round,Knockout,1974-06-30,Germany DR,Netherlands,0.0,2.0,2.0,-2.0,Away Win,Netherlands,,,,,"Parkstadion, Gelsenkirchen",68348,Ruedi Scheurer,Georg Buschner,Rinus Michels,Bernd Bransch,Johan Cruyff,
