year,date,round,home_team,away_team,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_second_yellow_reds,away_second_yellow_reds,data_available,total_yellow_cards,total_red_cards
1990,1990-06-30,Quarter-finals,Yugoslavia,Argentina,1,4,1,0,0.0,0.0,True,5,1
1990,1990-06-30,Quarter-finals,Italy,Republic of Ireland,1,1,0,0,0.0,0.0,True,2,0
1990,1990-06-26,Round of 16,Spain,Yugoslavia,2,3,0,0,0.0,0.0,True,5,0
1990,1990-06-26,Round of 16,England,Belgium,1,0,0,0,0.0,0.0,True,1,0
1990,1990-06-25,Round of 16,Republic of Ireland,Romania,2,2,0,0,0.0,0.0,True,4,0
1990,1990-06-25,Round of 16,Italy,Uruguay,1,4,0,0,0.0,0.0,True,5,0
1990,1990-06-24,Round of 16,Brazil,Argentina,2,3,1,0,0.0,0.0,True,5,1
1990,1990-06-24,Round of 16,West Germany,Netherlands,2,3,1,1,0.0,0.0,True,5,2
1990,1990-06-23,Round of 16,Cameroon,Colombia,4,2,0,0,0.0,0.0,True,6,0
1990,1990-06-23,Round of 16,Czechoslovakia,Costa Rica,3,2,0,0,0.0,0.0,True,5,0
1990,1990-06-21,Group stage,Belgium,Spain,0,0,0,0,0.0,0.0,False,0,0
1990,1990-06-21,Group stage,Korea Republic,Uruguay,2,2,1,0,0.0,0.0,True,4,1
1990,1990-06-21,Group stage,Republic of Ireland,Netherlands,0,1,0,0,0.0,0.0,True,1,0
1990,1990-06-21,Group stage,England,Egypt,1,2,0,0,0.0,0.0,True,3,0
1990,1990-06-20,Group stage,Sweden,Costa Rica,2,2,0,0,0.0,0.0,True,4,0
1990,1990-06-20,Group stage,Brazil,Scotland,0,2,0,0,0.0,0.0,True,2,0
1990,1990-06-19,Group stage,West Germany,Colombia,1,3,0,0,0.0,0.0,True,4,0
1990,1990-06-19,Group stage,Yugoslavia,United Arab Emirates,3,1,0,0,0.0,1.0,True,4,0
1990,1990-06-19,Group stage,Austria,United States,5,4,1,0,0.0,0.0,True,9,1
1990,1990-06-19,Group stage,Italy,Czechoslovakia,2,2,0,0,0.0,0.0,True,4,0
1990,1990-06-18,Group stage,Argentina,Romania,2,3,0,0,0.0,0.0,True,5,0
1990,1990-06-18,Group stage,Cameroon,Soviet Union,2,1,0,0,0.0,0.0,True,3,0
1990,1990-06-17,Group stage,Republic of Ireland,Egypt,1,1,0,0,0.0,0.0,True,2,0
1990,1990-06-17,Group stage,Belgium,Uruguay,1,1,0,0,1.0,0.0,True,2,0
1990,1990-06-17,Group stage,Korea Republic,Spain,3,0,0,0,0.0,0.0,True,3,0
1990,1990-06-16,Group stage,Brazil,Costa Rica,2,2,0,0,0.0,0.0,True,4,0
1990,1990-06-16,Group stage,England,Netherlands,0,0,0,0,0.0,0.0,False,0,0
1990,1990-06-16,Group stage,Sweden,Scotland,1,1,0,0,0.0,0.0,True,2,0
1990,1990-06-15,Group stage,Austria,Czechoslovakia,3,2,0,0,0.0,0.0,True,5,0
1990,1990-06-15,Group stage,West Germany,United Arab Emirates,1,2,0,0,0.0,0.0,True,3,0
1990,1990-06-14,Group stage,Yugoslavia,Colombia,1,0,0,0,0.0,0.0,True,1,0
1990,1990-06-14,Group stage,Cameroon,Romania,2,1,0,0,0.0,0.0,True,3,0
1990,1990-06-14,Group stage,Italy,United States,1,1,0,0,0.0,0.0,True,2,0
1990,1990-06-13,Group stage,Uruguay,Spain,2,2,0,0,0.0,0.0,True,4,0
1990,1990-06-13,Group stage,Argentina,Soviet Union,5,1,0,1,0.0,0.0,True,6,1
1990,1990-06-12,Group stage,Belgium,Korea Republic,0,1,0,0,0.0,0.0,True,1,0
1990,1990-06-12,Group stage,Netherlands,Egypt,1,1,0,0,0.0,0.0,True,2,0
1990,1990-06-11,Group stage,Costa Rica,Scotland,0,0,0,0,0.0,0.0,False,0,0
1990,1990-06-11,Group stage,England,Republic of Ireland,1,0,0,0,0.0,0.0,True,1,0
1990,1990-06-10,Group stage,United States,Czechoslovakia,2,2,1,0,0.0,0.0,True,4,1
1990,1990-06-10,Group stage,West Germany,Yugoslavia,1,0,0,0,0.0,0.0,True,1,0
1990,1990-06-10,Group stage,Brazil,Sweden,3,1,0,0,0.0,0.0,True,4,0
1990,1990-06-09,Group stage,United Arab Emirates,Colombia,3,0,0,0,0.0,0.0,True,3,0
1990,1990-06-09,Group stage,Soviet Union,Romania,1,1,0,0,0.0,0.0,True,2,0
1990,1990-06-09,Group stage,Italy,Austria,0,1,0,0,0.0,0.0,True,1,0
1990,1990-06-08,Group stage,Argentina,Cameroon,1,3,0,1,0.0,0.0,True,4,1
1986,1986-06-29,Final,Argentina,West Germany,4,2,0,0,0.0,0.0,True,6,0
1986,1986-06-28,Third-place match,France,Belgium,0,1,0,0,0.0,0.0,True,1,0
1986,1986-06-25,Semi-finals,France,West Germany,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-25,Semi-finals,Argentina,Belgium,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-22,Quarter-finals,Argentina,England,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-22,Quarter-finals,Spain,Belgium,2,2,0,0,0.0,0.0,True,4,0
1986,1986-06-21,Quarter-finals,Brazil,France,0,0,0,0,0.0,0.0,False,0,0
1986,1986-06-21,Quarter-finals,West Germany,Mexico,3,5,1,1,0.0,0.0,True,8,2
1986,1986-06-18,Round of 16,England,Paraguay,2,1,0,0,0.0,0.0,True,3,0
1986,1986-06-18,Round of 16,Denmark,Spain,1,3,0,0,0.0,0.0,True,4,0
1986,1986-06-17,Round of 16,Italy,France,2,1,0,0,0.0,0.0,True,3,0
1986,1986-06-17,Round of 16,Morocco,West Germany,2,0,0,0,0.0,0.0,True,2,0
1986,1986-06-16,Round of 16,Brazil,Poland,2,3,0,0,0.0,0.0,True,5,0
1986,1986-06-16,Round of 16,Argentina,Uruguay,3,4,0,0,0.0,0.0,True,7,0
1986,1986-06-15,Round of 16,Mexico,Bulgaria,0,1,0,0,0.0,0.0,True,1,0
1986,1986-06-15,Round of 16,Soviet Union,Belgium,0,1,0,0,0.0,0.0,True,1,0
1986,1986-06-13,Group stage,Scotland,Uruguay,2,3,0,1,0.0,0.0,True,5,1
1986,1986-06-13,Group stage,Denmark,West Germany,1,2,1,0,0.0,0.0,True,3,1
1986,1986-06-12,Group stage,Algeria,Spain,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-12,Group stage,Northern Ireland,Brazil,1,0,0,0,0.0,0.0,True,1,0
1986,1986-06-11,Group stage,Paraguay,Belgium,1,1,0,0,0.0,0.0,True,2,0
1986,1986-06-11,Group stage,Iraq,Mexico,2,0,0,0,0.0,0.0,True,2,0
1986,1986-06-11,Group stage,England,Poland,1,0,0,0,0.0,0.0,True,1,0
1986,1986-06-11,Group stage,Portugal,Morocco,1,0,0,0,0.0,0.0,True,1,0
1986,1986-06-10,Group stage,Argentina,Bulgaria,1,0,0,0,0.0,0.0,True,1,0
1986,1986-06-10,Group stage,Korea Republic,Italy,3,3,0,0,0.0,0.0,True,6,0
1986,1986-06-09,Group stage,Soviet Union,Canada,0,0,0,0,0.0,0.0,False,0,0
1986,1986-06-09,Group stage,Hungary,France,0,2,0,0,0.0,0.0,True,2,0
